f0_,f1_
2019-01-18 00:00:00 UTC,10062453
2020-08-17 00:00:00 UTC,15697717
2019-04-08 00:00:00 UTC,14316344
2019-04-02 00:00:00 UTC,20285235
2019-06-29 00:00:00 UTC,13699015
2020-09-12 00:00:00 UTC,17127775
2020-10-23 00:00:00 UTC,23944707
2019-07-15 00:00:00 UTC,15145810
2019-09-22 00:00:00 UTC,22359910
2020-03-09 00:00:00 UTC,11010340
2020-04-19 00:00:00 UTC,16309710
2020-04-06 00:00:00 UTC,10302827
2020-02-02 00:00:00 UTC,12515647
2020-02-29 00:00:00 UTC,13304895
2020-09-27 00:00:00 UTC,20087758
2020-06-04 00:00:00 UTC,21250965
2020-07-23 00:00:00 UTC,16660106
2019-07-31 00:00:00 UTC,10785738
2019-07-08 00:00:00 UTC,18618588
2020-12-23 00:00:00 UTC,16284069
2019-11-01 00:00:00 UTC,17331649
2019-11-15 00:00:00 UTC,13115367
2019-09-07 00:00:00 UTC,14547528
2019-10-12 00:00:00 UTC,10774194
2019-10-14 00:00:00 UTC,12858714
2019-12-16 00:00:00 UTC,17710135
2019-02-16 00:00:00 UTC,9325595
2020-02-21 00:00:00 UTC,10750663
2020-02-14 00:00:00 UTC,17596945
2020-05-10 00:00:00 UTC,12920128
2020-05-04 00:00:00 UTC,14214031
2020-10-16 00:00:00 UTC,19407494
2020-10-22 00:00:00 UTC,22953393
2020-10-31 00:00:00 UTC,18142918
2019-08-15 00:00:00 UTC,37343969
2019-01-03 00:00:00 UTC,10402320
2019-12-31 00:00:00 UTC,11025867
2020-08-07 00:00:00 UTC,23185828
2019-04-21 00:00:00 UTC,9482672
2020-05-07 00:00:00 UTC,14481972
2020-05-26 00:00:00 UTC,12993925
2020-05-30 00:00:00 UTC,20342195
2019-06-19 00:00:00 UTC,10517703
2020-06-09 00:00:00 UTC,18905467
2020-07-22 00:00:00 UTC,17201496
2020-07-21 00:00:00 UTC,16776489
2019-07-16 00:00:00 UTC,19508005
2020-12-28 00:00:00 UTC,20759174
2019-03-12 00:00:00 UTC,11720563
2019-09-20 00:00:00 UTC,14786863
2019-10-18 00:00:00 UTC,49352699
2019-01-17 00:00:00 UTC,7762738
2020-11-17 00:00:00 UTC,14786400
2020-11-08 00:00:00 UTC,11676615
2019-12-13 00:00:00 UTC,15922787
2020-10-07 00:00:00 UTC,16689476
2020-05-17 00:00:00 UTC,13762431
2020-09-21 00:00:00 UTC,17644780
2020-10-17 00:00:00 UTC,21323023
2019-07-22 00:00:00 UTC,16021818
2019-07-23 00:00:00 UTC,19019059
2019-03-24 00:00:00 UTC,12825375
2019-09-27 00:00:00 UTC,14038971
2020-03-04 00:00:00 UTC,9888859
2019-12-10 00:00:00 UTC,19650230
2020-10-09 00:00:00 UTC,19008745
2019-02-26 00:00:00 UTC,9801670
2019-06-22 00:00:00 UTC,18632604
2019-06-01 00:00:00 UTC,8955953
2019-06-12 00:00:00 UTC,11280187
2019-11-19 00:00:00 UTC,13208247
2019-11-30 00:00:00 UTC,15698714
2019-09-25 00:00:00 UTC,28443341
2019-09-06 00:00:00 UTC,13432317
2019-09-13 00:00:00 UTC,14103918
2020-03-01 00:00:00 UTC,12266585
2019-12-24 00:00:00 UTC,14004708
2019-12-06 00:00:00 UTC,17318533
2020-08-14 00:00:00 UTC,16622713
2019-02-18 00:00:00 UTC,12587676
2019-02-10 00:00:00 UTC,13721829
2020-05-12 00:00:00 UTC,14800509
2020-05-15 00:00:00 UTC,16273718
2020-05-22 00:00:00 UTC,19495022
2019-06-23 00:00:00 UTC,16428498
2019-06-27 00:00:00 UTC,15977618
2020-09-11 00:00:00 UTC,18578433
2020-06-03 00:00:00 UTC,15474658
2019-07-28 00:00:00 UTC,9721199
2020-12-27 00:00:00 UTC,15779347
2019-11-29 00:00:00 UTC,18175234
2019-11-18 00:00:00 UTC,13421782
2019-01-31 00:00:00 UTC,12203927
2019-01-14 00:00:00 UTC,7275124
2020-11-15 00:00:00 UTC,14168237
2019-12-23 00:00:00 UTC,16768206
2019-04-23 00:00:00 UTC,13591765
2020-07-04 00:00:00 UTC,14910921
2020-01-04 00:00:00 UTC,16079610
2020-03-19 00:00:00 UTC,18730900
2020-02-17 00:00:00 UTC,12410709
2020-10-29 00:00:00 UTC,14877715
2019-07-05 00:00:00 UTC,20203906
2020-12-05 00:00:00 UTC,17104204
2019-11-06 00:00:00 UTC,14780901
2019-09-21 00:00:00 UTC,13361332
2020-03-14 00:00:00 UTC,12590659
2019-01-30 00:00:00 UTC,11416754
2019-01-16 00:00:00 UTC,7173090
2020-04-05 00:00:00 UTC,13354327
2019-05-19 00:00:00 UTC,13804396
2020-08-11 00:00:00 UTC,14281157
2020-08-16 00:00:00 UTC,13329944
2020-01-28 00:00:00 UTC,12559773
2020-01-05 00:00:00 UTC,15261507
2020-02-15 00:00:00 UTC,21265703
2020-05-05 00:00:00 UTC,15546590
2020-05-29 00:00:00 UTC,18831451
2019-07-07 00:00:00 UTC,19605644
2020-12-18 00:00:00 UTC,16105602
2019-11-16 00:00:00 UTC,15630765
2020-03-06 00:00:00 UTC,12152085
2020-11-01 00:00:00 UTC,21384256
2020-07-13 00:00:00 UTC,14822918
2020-07-10 00:00:00 UTC,14436324
2019-02-05 00:00:00 UTC,14036086
2020-08-29 00:00:00 UTC,13388421
2020-05-13 00:00:00 UTC,19277135
2019-06-18 00:00:00 UTC,10437974
2019-06-09 00:00:00 UTC,10643721
2020-10-14 00:00:00 UTC,19262512
2020-12-20 00:00:00 UTC,17718225
2019-03-27 00:00:00 UTC,13001752
2019-03-25 00:00:00 UTC,13835924
2019-08-03 00:00:00 UTC,25408374
2019-10-07 00:00:00 UTC,11365478
2019-10-29 00:00:00 UTC,16601713
2019-05-09 00:00:00 UTC,12821115
2020-08-05 00:00:00 UTC,12645145
2019-02-01 00:00:00 UTC,14017340
2019-06-04 00:00:00 UTC,13038815
2019-11-03 00:00:00 UTC,13753034
2019-09-10 00:00:00 UTC,10678008
2020-03-05 00:00:00 UTC,13009322
2019-08-10 00:00:00 UTC,11860682
2020-04-18 00:00:00 UTC,18036748
2020-04-22 00:00:00 UTC,15967704
2021-01-15 00:00:00 UTC,28204233
2019-04-16 00:00:00 UTC,11807594
2020-03-29 00:00:00 UTC,11056921
2020-05-03 00:00:00 UTC,17703884
2020-05-11 00:00:00 UTC,15818932
2020-10-26 00:00:00 UTC,13264100
2019-10-20 00:00:00 UTC,14517198
2019-10-15 00:00:00 UTC,12813820
2019-10-24 00:00:00 UTC,14977974
2020-04-30 00:00:00 UTC,27423093
2019-12-19 00:00:00 UTC,15074763
2020-08-27 00:00:00 UTC,12960643
2020-08-22 00:00:00 UTC,12868696
2020-07-07 00:00:00 UTC,15925485
2020-07-09 00:00:00 UTC,15632182
2019-02-25 00:00:00 UTC,10340470
2020-12-21 00:00:00 UTC,21397396
2019-03-20 00:00:00 UTC,13772564
2019-03-26 00:00:00 UTC,12659483
2019-09-03 00:00:00 UTC,16269907
2019-08-31 00:00:00 UTC,14088797
2019-01-23 00:00:00 UTC,13563775
2019-01-05 00:00:00 UTC,7934734
2019-05-24 00:00:00 UTC,12511060
2019-05-27 00:00:00 UTC,20167099
2020-11-07 00:00:00 UTC,13697224
2020-08-06 00:00:00 UTC,26357619
2020-06-30 00:00:00 UTC,12492177
2019-02-28 00:00:00 UTC,9398989
2019-06-14 00:00:00 UTC,12628465
2020-09-13 00:00:00 UTC,16509348
2020-09-19 00:00:00 UTC,16427350
2020-12-01 00:00:00 UTC,16755921
2019-09-02 00:00:00 UTC,17613811
2019-05-30 00:00:00 UTC,11781737
2019-05-07 00:00:00 UTC,11647917
2020-11-21 00:00:00 UTC,15692756
2021-01-08 00:00:00 UTC,16319329
2021-01-10 00:00:00 UTC,24132754
2019-02-03 00:00:00 UTC,10365853
2020-01-13 00:00:00 UTC,31400304
2020-05-09 00:00:00 UTC,13812974
2020-09-18 00:00:00 UTC,16665516
2020-10-21 00:00:00 UTC,18716760
2020-07-28 00:00:00 UTC,16320325
2019-08-17 00:00:00 UTC,15637787
2019-08-25 00:00:00 UTC,10108144
2019-10-23 00:00:00 UTC,13685658
2019-01-06 00:00:00 UTC,9615258
2019-01-09 00:00:00 UTC,8472121
2019-05-05 00:00:00 UTC,7320658
2020-11-18 00:00:00 UTC,12625705
2019-04-25 00:00:00 UTC,11908188
2020-01-17 00:00:00 UTC,16591256
2019-06-07 00:00:00 UTC,7653214
2020-06-14 00:00:00 UTC,15268750
2020-06-13 00:00:00 UTC,14178207
2020-04-13 00:00:00 UTC,13165975
2020-11-04 00:00:00 UTC,13434586
2020-08-18 00:00:00 UTC,15905169
2019-04-24 00:00:00 UTC,12880610
2020-06-29 00:00:00 UTC,12111851
2020-06-24 00:00:00 UTC,12775151
2020-07-15 00:00:00 UTC,15357250
2020-02-07 00:00:00 UTC,13234407
2020-10-11 00:00:00 UTC,17497449
2020-12-03 00:00:00 UTC,14635277
2019-11-21 00:00:00 UTC,14915245
2019-08-18 00:00:00 UTC,13760768
2019-08-22 00:00:00 UTC,12508745
2019-08-09 00:00:00 UTC,15806606
2020-11-10 00:00:00 UTC,13510228
2019-12-04 00:00:00 UTC,15597641
2020-08-25 00:00:00 UTC,12772553
2019-04-06 00:00:00 UTC,14016799
2019-02-13 00:00:00 UTC,11419630
2019-02-02 00:00:00 UTC,13108907
2020-01-24 00:00:00 UTC,15095278
2020-03-30 00:00:00 UTC,12350865
2020-02-24 00:00:00 UTC,10957996
2020-05-06 00:00:00 UTC,15163721
2019-06-11 00:00:00 UTC,11592265
2020-09-20 00:00:00 UTC,17584732
2020-06-06 00:00:00 UTC,18690802
2020-07-27 00:00:00 UTC,15471041
2020-12-24 00:00:00 UTC,16062088
2020-12-17 00:00:00 UTC,15275391
2019-11-09 00:00:00 UTC,13062508
2019-09-12 00:00:00 UTC,13399158
2020-03-16 00:00:00 UTC,200106823
2019-08-02 00:00:00 UTC,17248988
2019-08-21 00:00:00 UTC,15655716
2020-04-12 00:00:00 UTC,11504739
2019-05-17 00:00:00 UTC,16990577
2019-12-18 00:00:00 UTC,13798814
2021-01-14 00:00:00 UTC,14181626
2021-01-11 00:00:00 UTC,18265071
2020-07-12 00:00:00 UTC,13922477
2019-02-09 00:00:00 UTC,10247136
2019-03-13 00:00:00 UTC,10131767
2019-10-02 00:00:00 UTC,10174495
2019-10-13 00:00:00 UTC,11717649
2019-01-21 00:00:00 UTC,11834977
2019-01-15 00:00:00 UTC,7708704
2019-01-04 00:00:00 UTC,9597615
2020-11-26 00:00:00 UTC,12908138
2020-10-03 00:00:00 UTC,18281490
2021-01-04 00:00:00 UTC,16529539
2020-07-14 00:00:00 UTC,14345080
2020-07-03 00:00:00 UTC,14436129
2020-01-31 00:00:00 UTC,13390927
2019-06-16 00:00:00 UTC,11820897
2020-06-12 00:00:00 UTC,18911975
2019-07-17 00:00:00 UTC,17319512
2019-11-02 00:00:00 UTC,17461463
2019-03-03 00:00:00 UTC,13310928
2020-03-12 00:00:00 UTC,10468885
2019-10-21 00:00:00 UTC,13358980
2019-01-27 00:00:00 UTC,12593793
2020-07-08 00:00:00 UTC,14637208
2020-01-02 00:00:00 UTC,11731844
2020-01-26 00:00:00 UTC,11300189
2020-01-25 00:00:00 UTC,9951715
2020-03-18 00:00:00 UTC,19476840
2020-08-30 00:00:00 UTC,12314207
2020-05-27 00:00:00 UTC,15425428
2019-06-30 00:00:00 UTC,14079039
2019-06-15 00:00:00 UTC,10931393
2020-10-24 00:00:00 UTC,18401227
2019-03-23 00:00:00 UTC,9363343
2019-08-16 00:00:00 UTC,13283517
2019-01-19 00:00:00 UTC,11270070
2020-04-24 00:00:00 UTC,22825026
2020-04-26 00:00:00 UTC,14419421
2019-12-01 00:00:00 UTC,17765857
2020-08-10 00:00:00 UTC,15012982
2020-08-03 00:00:00 UTC,17949455
2019-04-01 00:00:00 UTC,14591898
2019-04-17 00:00:00 UTC,13805337
2020-06-27 00:00:00 UTC,11734190
2020-03-25 00:00:00 UTC,14687329
2020-07-30 00:00:00 UTC,15433842
2020-07-26 00:00:00 UTC,21342259
2020-06-17 00:00:00 UTC,14601870
2019-09-19 00:00:00 UTC,17843669
2019-08-04 00:00:00 UTC,14483719
2020-04-02 00:00:00 UTC,14980715
2019-12-07 00:00:00 UTC,20908748
2020-08-08 00:00:00 UTC,16649818
2020-08-20 00:00:00 UTC,14698670
2020-06-28 00:00:00 UTC,12487983
2020-07-01 00:00:00 UTC,14996382
2020-01-30 00:00:00 UTC,14040498
2020-03-27 00:00:00 UTC,13318349
2020-02-08 00:00:00 UTC,14757412
2020-02-01 00:00:00 UTC,11210614
2020-08-31 00:00:00 UTC,15334444
2020-10-12 00:00:00 UTC,19190730
2020-12-02 00:00:00 UTC,13192658
2019-11-25 00:00:00 UTC,20500471
2020-06-19 00:00:00 UTC,12431009
2019-09-09 00:00:00 UTC,13910329
2019-09-30 00:00:00 UTC,12118001
2020-09-06 00:00:00 UTC,14212297
2020-04-09 00:00:00 UTC,15149807
2020-11-02 00:00:00 UTC,18669725
2019-12-08 00:00:00 UTC,18008034
2020-10-02 00:00:00 UTC,18124492
2019-04-05 00:00:00 UTC,17276613
2020-02-05 00:00:00 UTC,14013019
2019-06-08 00:00:00 UTC,11285891
2019-11-22 00:00:00 UTC,14408035
2019-11-12 00:00:00 UTC,18964674
2019-09-26 00:00:00 UTC,9150461
2020-09-04 00:00:00 UTC,19703107
2019-05-22 00:00:00 UTC,15239551
2019-05-03 00:00:00 UTC,10544475
2019-05-08 00:00:00 UTC,11049357
2020-11-03 00:00:00 UTC,13246464
2020-11-29 00:00:00 UTC,14185778
2019-12-14 00:00:00 UTC,13694400
2020-10-08 00:00:00 UTC,14855639
2021-01-16 00:00:00 UTC,19503182
2020-06-22 00:00:00 UTC,17125614
2019-02-20 00:00:00 UTC,12514036
2020-01-20 00:00:00 UTC,15680888
2020-05-31 00:00:00 UTC,20646243
2019-06-05 00:00:00 UTC,8656482
2020-09-24 00:00:00 UTC,13719776
2020-09-28 00:00:00 UTC,16810789
2020-06-01 00:00:00 UTC,17929071
2020-06-16 00:00:00 UTC,17583147
2020-10-27 00:00:00 UTC,12159269
2020-10-30 00:00:00 UTC,14524183
2020-07-17 00:00:00 UTC,13375651
2019-07-14 00:00:00 UTC,10911998
2019-10-30 00:00:00 UTC,16965307
2019-01-11 00:00:00 UTC,8653611
2019-05-23 00:00:00 UTC,13851140
2020-11-25 00:00:00 UTC,17978297
2021-01-05 00:00:00 UTC,18747566
2020-01-14 00:00:00 UTC,18339551
2020-06-10 00:00:00 UTC,22187968
2020-10-25 00:00:00 UTC,15992064
2019-07-03 00:00:00 UTC,23533658
2019-07-26 00:00:00 UTC,9664143
2020-12-10 00:00:00 UTC,16861950
2019-03-14 00:00:00 UTC,10741117
2019-03-22 00:00:00 UTC,11070728
2019-09-04 00:00:00 UTC,16732020
2019-08-08 00:00:00 UTC,68540862
2020-10-06 00:00:00 UTC,18671965
2021-01-06 00:00:00 UTC,19113266
2021-01-03 00:00:00 UTC,18623626
2020-06-25 00:00:00 UTC,13004420
2019-02-04 00:00:00 UTC,11823086
2020-02-12 00:00:00 UTC,17664601
2019-03-16 00:00:00 UTC,10306140
2019-09-24 00:00:00 UTC,26809286
2019-08-01 00:00:00 UTC,14820435
2019-10-26 00:00:00 UTC,15892605
2019-01-02 00:00:00 UTC,8242512
2019-05-10 00:00:00 UTC,17025837
2020-11-30 00:00:00 UTC,13763129
2020-11-09 00:00:00 UTC,14951529
2019-12-11 00:00:00 UTC,18414072
2019-12-30 00:00:00 UTC,14865816
